Location,Sea level [mm],Date
Helsinki Kaivopuisto,520.0833333333334,1975-01-01
Helsinki Kaivopuisto,608.8333333333334,1975-01-02
Helsinki Kaivopuisto,633.5416666666666,1975-01-03
Helsinki Kaivopuisto,708.7083333333334,1975-01-04
Helsinki Kaivopuisto,705.625,1975-01-05
Helsinki Kaivopuisto,899.1666666666666,1975-01-06
Helsinki Kaivopuisto,626.1666666666666,1975-01-07
Helsinki Kaivopuisto,624.1666666666666,1975-01-08
Helsinki Kaivopuisto,678.125,1975-01-09
Helsinki Kaivopuisto,789.3333333333334,1975-01-10
Helsinki Kaivopuisto,759.9583333333334,1975-01-11
Helsinki Kaivopuisto,571.8333333333334,1975-01-12
Helsinki Kaivopuisto,718.4583333333334,1975-01-13
Helsinki Kaivopuisto,701.9166666666666,1975-01-14
Helsinki Kaivopuisto,660.5416666666666,1975-01-15
Helsinki Kaivopuisto,542.9583333333334,1975-01-16
Helsinki Kaivopuisto,506.0833333333333,1975-01-17
Helsinki Kaivopuisto,521.4583333333334,1975-01-18
Helsinki Kaivopuisto,497.2916666666667,1975-01-19
Helsinki Kaivopuisto,505.5833333333333,1975-01-20
Helsinki Kaivopuisto,473.3333333333333,1975-01-21
Helsinki Kaivopuisto,444.25,1975-01-22
Helsinki Kaivopuisto,556.3333333333334,1975-01-23
Helsinki Kaivopuisto,409.1666666666667,1975-01-24
Helsinki Kaivopuisto,466.4583333333333,1975-01-25
Helsinki Kaivopuisto,449.0833333333333,1975-01-26
Helsinki Kaivopuisto,378.3333333333333,1975-01-27
Helsinki Kaivopuisto,326.5,1975-01-28
Helsinki Kaivopuisto,223.66666666666666,1975-01-29
Helsinki Kaivopuisto,228.95833333333334,1975-01-30
Helsinki Kaivopuisto,288.5416666666667,1975-01-31
Helsinki Kaivopuisto,256.2916666666667,1975-02-01
Helsinki Kaivopuisto,217.625,1975-02-02
Helsinki Kaivopuisto,293.25,1975-02-03
Helsinki Kaivopuisto,297.4583333333333,1975-02-04
Helsinki Kaivopuisto,242.66666666666666,1975-02-05
Helsinki Kaivopuisto,266.4166666666667,1975-02-06
Helsinki Kaivopuisto,81.04166666666667,1975-02-07
Helsinki Kaivopuisto,165.33333333333334,1975-02-08
Helsinki Kaivopuisto,176.25,1975-02-09
Helsinki Kaivopuisto,120.75,1975-02-10
Helsinki Kaivopuisto,79.125,1975-02-11
Helsinki Kaivopuisto,136.16666666666666,1975-02-12
Helsinki Kaivopuisto,96.54166666666667,1975-02-13
Helsinki Kaivopuisto,43.458333333333336,1975-02-14
Helsinki Kaivopuisto,107.20833333333333,1975-02-15
Helsinki Kaivopuisto,116.25,1975-02-16
Helsinki Kaivopuisto,119.875,1975-02-17
Helsinki Kaivopuisto,21.541666666666668,1975-02-18
Helsinki Kaivopuisto,73.79166666666667,1975-02-19
Helsinki Kaivopuisto,96.04166666666667,1975-02-20
Helsinki Kaivopuisto,139.70833333333334,1975-02-21
Helsinki Kaivopuisto,113.83333333333333,1975-02-22
Helsinki Kaivopuisto,88.625,1975-02-23
Helsinki Kaivopuisto,50.333333333333336,1975-02-24
Helsinki Kaivopuisto,41.666666666666664,1975-02-25
Helsinki Kaivopuisto,46.333333333333336,1975-02-26
Helsinki Kaivopuisto,38.291666666666664,1975-02-27
Helsinki Kaivopuisto,23.875,1975-02-28
Helsinki Kaivopuisto,12.25,1975-03-01
Helsinki Kaivopuisto,-48.416666666666664,1975-03-02
Helsinki Kaivopuisto,-34.083333333333336,1975-03-03
Helsinki Kaivopuisto,-11.125,1975-03-04
Helsinki Kaivopuisto,-64.625,1975-03-05
Helsinki Kaivopuisto,21.125,1975-03-06
Helsinki Kaivopuisto,-9.0,1975-03-07
Helsinki Kaivopuisto,-56.75,1975-03-08
Helsinki Kaivopuisto,68.95833333333333,1975-03-09
Helsinki Kaivopuisto,-46.208333333333336,1975-03-10
Helsinki Kaivopuisto,-105.5,1975-03-11
Helsinki Kaivopuisto,-149.29166666666666,1975-03-12
Helsinki Kaivopuisto,-104.29166666666667,1975-03-13
Helsinki Kaivopuisto,-164.0,1975-03-14
Helsinki Kaivopuisto,-223.0,1975-03-15
Helsinki Kaivopuisto,-42.416666666666664,1975-03-16
Helsinki Kaivopuisto,-88.54166666666667,1975-03-17
Helsinki Kaivopuisto,-163.45833333333334,1975-03-18
Helsinki Kaivopuisto,-163.75,1975-03-19
